id,tic,seed,period_days,epoch_btjd,radius_earth,depth,duration_days,status,recovered_in_top3,recovered_in_search,maximum_trial_fits,recovered_with_strict_holdout,elapsed_seconds
219223742_orbit0_radius0.8,219223742,20260908,17.030218671454797,1397.3995469855836,0.8,0.0029449997446145395,0.04382201499289146,finished,True,True,,False,4.5189826670102775
219223742_orbit0_radius1,219223742,20260908,17.030218671454797,1397.3995469855836,1.0,0.0046015621009602185,0.04438596015776006,finished,True,True,,False,4.4945557080209255
219223742_orbit0_radius1.5,219223742,20260908,17.030218671454797,1397.3995469855836,1.5,0.010353514727160493,0.04579582589000103,finished,True,True,,True,4.4430019170977175
219223742_orbit1_radius0.8,219223742,20260908,14.686954857653507,1392.380318488479,0.8,0.0029449997446145395,0.041712309013229774,finished,True,True,,False,4.499832791974768
219223742_orbit1_radius1,219223742,20260908,14.686954857653507,1392.380318488479,1.0,0.0046015621009602185,0.042249107856650044,finished,True,True,,False,4.561528000049293
219223742_orbit1_radius1.5,219223742,20260908,14.686954857653507,1392.380318488479,1.5,0.010353514727160493,0.04359110823530158,finished,True,True,,False,4.569854625035077
219223742_orbit2_radius0.8,219223742,20260908,9.287842338848028,1388.4486094426309,0.8,0.0029449997446145395,0.03580401479135957,finished,True,True,,True,4.798536125104874
219223742_orbit2_radius1,219223742,20260908,9.287842338848028,1388.4486094426309,1.0,0.0046015621009602185,0.036264793351708374,finished,True,True,,True,4.820815291954204
219223742_orbit2_radius1.5,219223742,20260908,9.287842338848028,1388.4486094426309,1.5,0.010353514727160493,0.03741674492434329,finished,True,True,,True,4.83915308304131
232970271_orbit0_radius0.8,232970271,20260908,8.1211593746458,1873.138885199623,0.8,0.00460156210096022,0.02967477762016265,finished,False,False,,False,2.7491909170057625
232970271_orbit0_radius1,232970271,20260908,8.1211593746458,1873.138885199623,1.0,0.0071899407827503425,0.03014608267221779,finished,False,False,,False,2.70382170798257
232970271_orbit0_radius1.5,232970271,20260908,8.1211593746458,1873.138885199623,1.5,0.01617736676118827,0.03132435119386285,finished,True,True,,True,2.7265225420705974
232970271_orbit1_radius0.8,232970271,20260908,10.382045083104561,1874.8017803956036,0.8,0.00460156210096022,0.032206155119831215,finished,False,False,,False,2.6369625830557197
232970271_orbit1_radius1,232970271,20260908,10.382045083104561,1874.8017803956036,1.0,0.0071899407827503425,0.03271765581512504,finished,True,True,,True,2.7384719578549266
232970271_orbit1_radius1.5,232970271,20260908,10.382045083104561,1874.8017803956036,1.5,0.01617736676118827,0.03399641216152455,finished,True,True,,True,2.721426917007193
232970271_orbit2_radius0.8,232970271,20260908,4.285579549640387,1871.9498460639898,0.8,0.00460156210096022,0.02398106265585901,finished,False,False,,False,2.674895458156243
232970271_orbit2_radius1,232970271,20260908,4.285579549640387,1871.9498460639898,1.0,0.0071899407827503425,0.024361968894639513,finished,False,False,,False,2.73627124982886
232970271_orbit2_radius1.5,232970271,20260908,4.285579549640387,1871.9498460639898,1.5,0.01617736676118827,0.02531424566012969,finished,True,True,,True,2.6525624999776483
397098265_orbit0_radius0.8,397098265,20260908,5.807077197972602,1987.0943688514842,0.8,0.0026996941977566525,0.03146603795004637,finished,True,True,,True,3.241757665993646
397098265_orbit0_radius1,397098265,20260908,5.807077197972602,1987.0943688514842,1.0,0.004218272183994769,0.031854633385923654,finished,True,True,,True,3.1129640410654247
397098265_orbit0_radius1.5,397098265,20260908,5.807077197972602,1987.0943688514842,1.5,0.009491112413988232,0.03282613023927948,finished,True,True,,True,3.2077629999257624
397098265_orbit1_radius0.8,397098265,20260908,10.418768097552343,1989.3840779432596,0.8,0.0026996941977566525,0.03823371627941476,finished,True,True,,True,3.465374541003257
397098265_orbit1_radius1,397098265,20260908,10.418768097552343,1989.3840779432596,1.0,0.004218272183994769,0.03870585682781994,finished,True,True,,True,3.526882749982178
397098265_orbit1_radius1.5,397098265,20260908,10.418768097552343,1989.3840779432596,1.5,0.009491112413988232,0.039886212803226136,finished,True,True,,True,3.517598208039999
397098265_orbit2_radius0.8,397098265,20260908,7.043859466556342,1987.5407793138222,0.8,0.0026996941977566525,0.03355727921207278,finished,True,True,,True,3.4665973328519613
397098265_orbit2_radius1,397098265,20260908,7.043859466556342,1987.5407793138222,1.0,0.004218272183994769,0.03397168846140895,finished,True,True,,True,3.519949750043452
397098265_orbit2_radius1.5,397098265,20260908,7.043859466556342,1987.5407793138222,1.5,0.009491112413988232,0.03500771839652293,finished,True,True,,True,3.5613144170492887
